"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
コンセプトは好き。,"行頭の字下げ。閉じ括弧前の句点は不要。！と？の直後は一文字空ける。
これらを気を付けるだけでかなり読みやすくなります。

あと、！は基本的に一つでいいと思います。二つ以上を安易に多様すると陳腐に見えます。
戦闘の山場など、ここぞという場面で盛り上げるために使って下さい。
","多分小説を書くのは初めてではないかと思います。
表現力は書いていればそのうち身に付くと思うので頑張って書いてください。

三点リーダー偶数個だけは守られてる。ふしぎ。",ご指摘ありがとうございます、スマホで書いたのをそのままアップしていたので改行多すぎましたね……これからも拙作をよろしくお願いします。,2017年 06月02日 16:11,2017年 06月04日 20:27
面白かったです,,"クソゲーをクリアする人は総じてPSが異常
主人公はクソゲーマニアでクソゲーをクリアしまくっている
つまり主人公はPSが異常
これからどんな二つ名がつけられるのか気になるなぁ","ありがとうございます。
二つ名的なものは考えてるんですがかっこいい系で行くかギャグ系で行くか悩みものですね……これからも拙作をよろしくお願いします",2017年 06月04日 1:59,2017年 06月04日 20:29
クソゲー語録的なのがツボです。,"誤字報告です。

4
『生えある』->栄えある

5
『対照的ににパリィ』->対照的にパリィ

8
『先頭を始めた』->戦闘を始めた

17
『防御力に何のある』->防御力に難のある",,"ありがとうございます！
やはり誤字脱字は第三者の方のほうが気付きやすいんですかね……ガバガバ過ぎて涙出そうです
",2017年 06月04日 15:17,2017年 06月04日 20:30
,,久々に続きが早く読みたいと思える作品に出会えました。,"ありがとうございます
なるべく毎日投稿できるよう頑張りたいと思います！ もう少し1話の文章量増やしたほうがいいですかね……",2017年 06月04日 19:39,2017年 06月04日 20:31
,,面白い、面白くない？面白い。面白いよね？面白いよ。,"ありがとうございます
これからも粉骨砕身頑張らせていただきます！",2017年 06月04日 20:15,2017年 06月04日 20:34
"面白そう。
交流する他プレイヤーがイマイチだったりしなければ長く読めそうなので、
期待してます。",,,"ありがとうございます。
ご期待に応えられるよう頑張っていきたいと思います。主人公は実際のところ新規プレイヤーなのでガチプレイヤーとどう絡めるかは悩みどころですね……",2017年 06月04日 22:32,2017年 06月04日 22:51
,"あの…第一話のクソゲーのタイトル大丈夫ですか？
書籍化までされているなろう小説のタイトルと同じですよ？
ご存じで同名にしてあるのでしたら余計なお世話で申し訳ありませんが、少々心配になりましたので。",,"本当ですか！？（今初めて知った顔）
流石に既存の作品と同じタイトルはいらぬ誤解を招きそうなのですぐ変更します
ご報告感謝です。",2017年 06月04日 22:58,2017年 06月04日 23:49
,"第一話のクソゲータイトル、前半と後半が一致してません。
他の人への返信から考えると、後半が間違いかと",,"ご指摘ありがとうございます
普通に見落としてました……お手数おかけします",2017年 06月05日 7:13,2017年 06月05日 7:17
,,"これぐらいの緩い縛りならメリットの方が俄然大きそうですね。
呪い抵抗は悪さ出来る気しかしませんし、Mob逃走もいい具合に使えそうで今後が楽しみです。","実のところ、本来は高レベルプレイヤーを対象とした呪いですから装備が欠けても大した問題にならない低レベルプレイヤーにとっては装備欄潰しがさほど苦にならないんですね
高レベルプレイヤーにとってのデメリットが必ずしも低レベルプレイヤーにとってデメリットとは限らない……的なことを表現していけたらな、と思います
これからもよろしくお願いします！",2017年 06月05日 9:39,2017年 06月05日 10:53
,武器の成長経験値やらがあったとして、装備者と敵のレベル・ステータスの差、クリティカルによるボーナスとかで獲得経験値が凄いことになってそう……,,"そこらへんは追々書いていきたいと思っていますが、今は「シャンフロは開示されてるパラメータより隠しパラメータのほうが多い」とだけ
これからも拙作をよろしくお願いします！",2017年 06月05日 9:56,2017年 06月05日 10:55
,旧世代のゲーム旨い勢はテイマーで疑似格ゲーしてそう,"主人公のビジュアルがエル・チキンライスとだぶってしまう。
ちょっと理不尽な方が燃えるとは、流石カエルベルトを装備してるだけはありますね。
","主人公は未経験のゲームシステムでもとりあえずハードモード選んじゃうタイプの人間です。
頭部が某目力が鋭すぎるペリカンの親戚の半裸が街の中を歩いている神ゲーを題材とした「シャングリラ・フロンティア」をこれからもよろしくお願いします！",2017年 06月05日 12:01,2017年 06月05日 12:12
,夜襲のシュバルツヴォルフ？,面白い！,"夜襲のシュバルツヴォルフはリュカオーンの初期案ですね。
今の名前にするときに書き換えたんですが一箇所見逃してたみたいです……ご指摘ありがとうございます。
これからも拙作を宜しくお願いします",2017年 06月05日 18:01,2017年 06月05日 19:51
"面白かったですこの変態め！！(褒め言葉)
この主人公はKOTYの住人やってそう。

なんでクソゲーって沼みたいにハマる人が多いんでしょうね？",,,"たかがクソゲーされどクソゲー、少なくともあらゆるゲームは製作者の情熱が詰まってますから、自分の中の歯車に合致すればクソゲーでも楽しめない道理はない、多分！
これからも拙作を宜しくお願いします！",2017年 06月05日 14:18,2017年 06月05日 19:55
クソゲーでいろいろ鍛えられた主人公という設定が面白いかなと。,,続きが楽しみです。,"あくまでメインはシャングリラ・フロンティアですが、主人公の棚に眠るクソゲー達も書いていきたいと思っています。
これからも拙作を宜しくお願いいたします。",2017年 06月05日 18:32,2017年 06月05日 19:57
,,"両手(大)剣
鳥(っぽい)仮面
半裸…あっ(察し","大型剣を使ったダブルソードするには主人公ではSTRが足りないのです……無念。
そんな貧弱主人公が頑張る拙作をこれからも宜しくお願いいたします！（ドヤ顔ダブルソード）",2017年 06月05日 19:51,2017年 06月05日 20:02
,,すっごい面白いです！これからもこの雰囲気を変えずに頑張ってください！！,"ありがとうございます！皆々様のご期待に応えられるよう頑張ります！
これからもシャングリラ・フロンティアを宜しくお願いします！",2017年 06月05日 21:18,2017年 06月05日 21:23
,,"クソゲーは色々あるからなぁ。
コンシューマーでもありえないのあるし。
エロゲーはまた別世界だけど。体験版にパッチあてると全部出来たり。","エロゲはエロゲで面白いクソゲー（矛盾）多いですが主人公は清く正しい青少年なのでギャルゲーで勘弁してください！
これからも拙作を宜しくお願いします！",2017年 06月05日 21:36,2017年 06月05日 21:56
,,ビックリするくらい丁寧でとても面白かったです。これからも楽しみに更新を待っています。,"それでも誤字やガバが見つかってしまうのでまだまだ精進しなければですね
これからも拙作を宜しくお願いします！",2017年 06月05日 22:35,2017年 06月06日 7:48
,,"とても面白くて一気読みしてしまいました。
話の内容なども面白かったです。
次の更新も楽しみに待ってます。
そして失踪せずに完結することを祈ってます。",完結を最低目標にこれからも頑張っていく所存です、宜しくお願いします。,2017年 06月05日 23:32,2017年 06月06日 7:49
"主人公は確かに強いんだけど強さに裏付けがあって、その上でやはり、レベル差のある強者にはPSだけでは絶対勝てない、と言うのがすごく良い
",,ユニークスキルが強いから格上でも勝てますみたいな作品には辟易としていたので是非頑張って書き続けて欲しいです。,"強い武器があろうがスキルがあろうが勝てないものは勝てない、を大原則に書いていくつもりであります！
これからも宜しくお願いします！",2017年 06月06日 3:26,2017年 06月06日 7:53
"最新話まで読ませていただきました。こりゃ面白い。
クソゲーマー特有の謎の前向きさというかひた向きさ？で進む様が見ていて気持ちいいです。",,今後の展開も楽しみです。,"ありがとうございます！ご期待に添えるよう頑張っていきたいと思います！心にヒビが入っても折れないのがクソゲーマーだと思います
これからも拙作を宜しくお願いします！

",2017年 06月05日 23:37,2017年 06月06日 7:59
,,面白かったです。更新頑張ってください。,"ありがとうございます！とりあえず毎日更新は心掛けるようにしています
拙作をこれからもどうか宜しくお願いします",2017年 06月06日 0:29,2017年 06月06日 8:00
